,Unnamed: 0.1,Unnamed: 0,Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
219,219,19482,1326486840,6.72,6.72,6.72,6.72,0.99107143,6.6600000096,6.72
220,220,19685,1326499020,6.6,6.6,6.6,6.6,1.0,6.6,6.6
221,221,19729,1326501660,6.5,6.5,6.5,6.5,1.54083205,10.015408325,6.5
222,222,19731,1326501780,6.5,6.5,6.5,6.5,1.54083205,10.015408325,6.5
223,223,19745,1326502620,6.5,6.5,6.5,6.5,1.54559505,10.046367825,6.5
224,224,19747,1326502740,6.5,6.5,6.5,6.5,4.74,30.81,6.5
225,225,19756,1326503280,6.5,6.5,6.5,6.5,1.54320988,10.03086422,6.5
226,226,19757,1326503340,6.5,6.5,6.4,6.4,1.68953097,10.881951305,6.4408119758
227,227,20930,1326573720,6.3,6.3,6.3,6.3,1.0,6.3,6.3
228,228,20931,1326573780,6.3,6.3,6.3,6.3,1.5128593,9.53101359,6.3
229,229,20932,1326573840,6.3,6.3,6.3,6.3,1.51057401,9.516616263,6.3
230,230,20933,1326573900,6.3,6.3,6.3,6.3,0.21256669,1.339170147,6.3
231,231,21753,1326623100,7.15,7.15,7.15,7.15,11.42450142,81.685185153,7.15
232,232,21755,1326623220,7.15,7.15,7.15,7.15,1.42450142,10.185185153,7.15
233,233,21756,1326623280,7.15,7.15,7.15,7.15,1.42450142,10.185185153,7.15
234,234,21757,1326623340,7.15,7.15,7.15,7.15,1.42450142,10.185185153,7.15
235,235,21758,1326623400,7.15,7.15,7.15,7.15,1.00129502,7.159259393,7.15
236,236,23518,1326729000,6.2,6.2,6.2,6.2,1.0,6.2,6.2
237,237,23519,1326729060,6.2,6.2,6.2,6.2,1.49925037,9.295352294,6.2
238,238,23520,1326729120,6.2,6.2,6.2,6.2,0.90074963,5.584647706,6.2
239,239,23633,1326735900,7.1,7.1,7.1,7.1,6.0,42.6,7.1
240,240,23634,1326735960,7.1,7.1,7.1,7.1,1.43884892,10.215827332,7.1
241,241,23636,1326736080,7.1,7.1,7.1,7.1,1.44300144,10.245310224,7.1
242,242,23637,1326736140,7.1,7.1,7.1,7.1,0.36744541,2.608862411,7.1
243,243,24733,1326801900,6.5,6.5,6.5,6.5,1.0,6.5,6.5
244,244,24734,1326801960,6.5,6.5,6.5,6.5,1.0,6.5,6.5
245,245,24864,1326809760,6.9,6.9,6.9,6.9,2.0,13.8,6.9
246,246,24912,1326812640,6.9,6.9,6.9,6.9,7.24637681,49.999999989,6.9
247,247,25361,1326839580,6.4,6.4,6.4,6.4,1.0,6.4,6.4
248,248,25362,1326839640,6.3,6.3,6.2,6.2,1.62337662,10.164935044,6.2616000001
249,249,25363,1326839700,6.2,6.2,6.0,6.0,1.77619893,10.832518256,6.0987077928
250,250,25364,1326839760,6.0,6.0,6.0,6.0,1.77619893,10.65719358,6.0
251,251,25366,1326839880,6.0,6.0,6.0,6.0,1.9047619,11.4285714,6.0
252,252,25367,1326839940,6.0,6.0,6.0,6.0,1.9047619,11.4285714,6.0
253,253,25368,1326840000,6.0,6.0,6.0,6.0,2.01612903,12.09677418,6.0
254,254,25369,1326840060,6.0,6.0,6.0,6.0,1.94552529,11.67315174,6.0
255,255,25370,1326840120,6.0,6.0,6.0,6.0,1.90839695,11.4503817,6.0
256,256,25371,1326840180,6.0,6.0,6.0,6.0,1.85873606,11.15241636,6.0
257,257,25372,1326840240,6.0,6.0,6.0,6.0,1.7921147,10.7526882,6.0
258,258,25373,1326840300,6.0,6.0,6.0,6.0,1.7699115,10.619469,6.0
